checkpoint,run,score,player
checkpoint-1490,0,36,DEFENSIVE
checkpoint-1490,0,36,AGGRESSIVE
checkpoint-1490,0,48,NN
checkpoint-1490,0,52,GREEDY
checkpoint-1490,1,39,AGGRESSIVE
checkpoint-1490,1,41,GREEDY
checkpoint-1490,1,42,DEFENSIVE
checkpoint-1490,1,72,NN
checkpoint-1490,2,36,GREEDY
checkpoint-1490,2,38,AGGRESSIVE
checkpoint-1490,2,55,DEFENSIVE
checkpoint-1490,2,41,NN
checkpoint-1490,3,36,DEFENSIVE
checkpoint-1490,3,53,AGGRESSIVE
checkpoint-1490,3,39,NN
checkpoint-1490,3,39,GREEDY
checkpoint-1490,4,40,AGGRESSIVE
checkpoint-1490,4,41,NN
checkpoint-1490,4,40,DEFENSIVE
checkpoint-1490,4,52,GREEDY
checkpoint-1490,5,38,AGGRESSIVE
checkpoint-1490,5,37,NN
checkpoint-1490,5,38,DEFENSIVE
checkpoint-1490,5,41,GREEDY
checkpoint-1490,6,36,AGGRESSIVE
checkpoint-1490,6,36,DEFENSIVE
checkpoint-1490,6,38,GREEDY
checkpoint-1490,6,40,NN
checkpoint-1490,7,36,NN
checkpoint-1490,7,40,GREEDY
checkpoint-1490,7,43,DEFENSIVE
checkpoint-1490,7,41,AGGRESSIVE
checkpoint-1490,8,36,AGGRESSIVE
checkpoint-1490,8,45,GREEDY
checkpoint-1490,8,37,DEFENSIVE
checkpoint-1490,8,38,NN
checkpoint-1490,9,37,DEFENSIVE
checkpoint-1490,9,41,GREEDY
checkpoint-1490,9,59,NN
checkpoint-1490,9,38,AGGRESSIVE
checkpoint-1490,10,36,AGGRESSIVE
checkpoint-1490,10,47,NN
checkpoint-1490,10,42,GREEDY
checkpoint-1490,10,37,DEFENSIVE
checkpoint-1490,11,38,AGGRESSIVE
checkpoint-1490,11,38,NN
checkpoint-1490,11,36,GREEDY
checkpoint-1490,11,41,DEFENSIVE
checkpoint-1490,12,43,AGGRESSIVE
checkpoint-1490,12,41,NN
checkpoint-1490,12,39,DEFENSIVE
checkpoint-1490,12,43,GREEDY
checkpoint-1490,13,39,AGGRESSIVE
checkpoint-1490,13,36,DEFENSIVE
checkpoint-1490,13,44,NN
checkpoint-1490,13,42,GREEDY
checkpoint-1490,14,41,GREEDY
checkpoint-1490,14,39,AGGRESSIVE
checkpoint-1490,14,43,NN
checkpoint-1490,14,36,DEFENSIVE
checkpoint-1490,15,37,AGGRESSIVE
checkpoint-1490,15,40,NN
checkpoint-1490,15,41,GREEDY
checkpoint-1490,15,39,DEFENSIVE
checkpoint-1490,16,36,GREEDY
checkpoint-1490,16,38,NN
checkpoint-1490,16,40,AGGRESSIVE
checkpoint-1490,16,37,DEFENSIVE
checkpoint-1490,17,38,AGGRESSIVE
checkpoint-1490,17,47,NN
checkpoint-1490,17,36,GREEDY
checkpoint-1490,17,36,DEFENSIVE
checkpoint-1490,18,39,GREEDY
checkpoint-1490,18,38,NN
checkpoint-1490,18,38,DEFENSIVE
checkpoint-1490,18,48,AGGRESSIVE
checkpoint-1490,19,36,AGGRESSIVE
checkpoint-1490,19,36,GREEDY
checkpoint-1490,19,40,NN
checkpoint-1490,19,38,DEFENSIVE
checkpoint-1490,20,36,DEFENSIVE
checkpoint-1490,20,45,NN
checkpoint-1490,20,36,AGGRESSIVE
checkpoint-1490,20,41,GREEDY
checkpoint-1490,21,36,AGGRESSIVE
checkpoint-1490,21,36,DEFENSIVE
checkpoint-1490,21,40,NN
checkpoint-1490,21,38,GREEDY
checkpoint-1490,22,49,AGGRESSIVE
checkpoint-1490,22,41,GREEDY
checkpoint-1490,22,41,DEFENSIVE
checkpoint-1490,22,36,NN
checkpoint-1490,23,37,GREEDY
checkpoint-1490,23,38,DEFENSIVE
checkpoint-1490,23,36,AGGRESSIVE
checkpoint-1490,23,41,NN
checkpoint-1490,24,40,NN
checkpoint-1490,24,40,DEFENSIVE
checkpoint-1490,24,55,GREEDY
checkpoint-1490,24,39,AGGRESSIVE
checkpoint-1490,25,37,GREEDY
checkpoint-1490,25,37,DEFENSIVE
checkpoint-1490,25,47,AGGRESSIVE
checkpoint-1490,25,39,NN
checkpoint-1490,26,39,NN
checkpoint-1490,26,36,GREEDY
checkpoint-1490,26,51,AGGRESSIVE
checkpoint-1490,26,40,DEFENSIVE
checkpoint-1490,27,38,NN
checkpoint-1490,27,39,AGGRESSIVE
checkpoint-1490,27,46,GREEDY
checkpoint-1490,27,38,DEFENSIVE
checkpoint-1490,28,37,NN
checkpoint-1490,28,36,AGGRESSIVE
checkpoint-1490,28,36,DEFENSIVE
checkpoint-1490,28,39,GREEDY
checkpoint-1490,29,36,AGGRESSIVE
checkpoint-1490,29,36,NN
checkpoint-1490,29,36,GREEDY
checkpoint-1490,29,0,DEFENSIVE
checkpoint-2006,0,43,NN
checkpoint-2006,0,38,AGGRESSIVE
checkpoint-2006,0,38,GREEDY
checkpoint-2006,0,75,DEFENSIVE
checkpoint-2006,1,36,GREEDY
checkpoint-2006,1,47,NN
checkpoint-2006,1,41,AGGRESSIVE
checkpoint-2006,1,42,DEFENSIVE
checkpoint-2006,2,40,GREEDY
checkpoint-2006,2,41,NN
checkpoint-2006,2,40,AGGRESSIVE
checkpoint-2006,2,40,DEFENSIVE
checkpoint-2006,3,37,AGGRESSIVE
checkpoint-2006,3,38,NN
checkpoint-2006,3,41,GREEDY
checkpoint-2006,3,41,DEFENSIVE
checkpoint-2006,4,38,GREEDY
checkpoint-2006,4,38,AGGRESSIVE
checkpoint-2006,4,42,DEFENSIVE
checkpoint-2006,4,70,NN
checkpoint-2006,5,39,DEFENSIVE
checkpoint-2006,5,50,GREEDY
checkpoint-2006,5,121,NN
checkpoint-2006,5,36,AGGRESSIVE
checkpoint-2006,6,38,DEFENSIVE
checkpoint-2006,6,41,AGGRESSIVE
checkpoint-2006,6,55,NN
checkpoint-2006,6,39,GREEDY
checkpoint-2006,7,36,AGGRESSIVE
checkpoint-2006,7,44,NN
checkpoint-2006,7,48,GREEDY
